rownr,sensor_id,sensor_tag,device_name,device_id
47,96a57e2d-25cf-4df9-9149-fab7fb2d7103,soilMoisture,SPoHF_EC-BV_rij4,e9c243e6-75aa-450b-9fd5-fe5519d4263a
48,0e0703d4-350f-4d37-be5f-4f96df98b3f0,leaf_temperature,DF1C | BN + BT | Zijkant Biologisch,ec075f6f-f35d-4bce-8d22-46e551a7bc03
49,93b4a3db-61c4-48d4-bbb0-86fe8771291d,leaf_moisture,DF1C | BN + BT | Zijkant Biologisch,ec075f6f-f35d-4bce-8d22-46e551a7bc03
50,057c56f1-7235-4e39-9b52-807121c88f26,soilConductivity,02 | 0E4F | BV + EC + BT,fe39c47a-e729-4845-81c0-5093a1b7fe95
51,25de66b5-6e92-406d-900e-56eba4193d54,soilMoisture,02 | 0E4F | BV + EC + BT,fe39c47a-e729-4845-81c0-5093a1b7fe95
52,d9568380-8cda-4e33-b69a-4ed34160c7ce,soilTemperature,02 | 0E4F | BV + EC + BT,fe39c47a-e729-4845-81c0-5093a1b7fe95
53,40b66be1-a498-41eb-98ff-070575651c63,airTemperature,weatherstation,3c92efda-b9ea-4c6f-a694-145957979173
54,7bcf5553-4abe-408e-9826-7d744ab173ea,atmosphericPressure,weatherstation,3c92efda-b9ea-4c6f-a694-145957979173
55,c6d9411f-61b6-4b49-a5bf-dcdc1cb61ce2,battery,weatherstation,3c92efda-b9ea-4c6f-a694-145957979173
56,a73d657c-9f7e-42ea-bc33-a8356b23f267,inputVoltage,weatherstation,3c92efda-b9ea-4c6f-a694-145957979173
57,0091dacf-8789-481d-bd02-67b57e4d0ad3,lightningStrikes,weatherstation,3c92efda-b9ea-4c6f-a694-145957979173
58,31766108-5df8-431c-9f60-09381fd0d2ee,precipitation,weatherstation,3c92efda-b9ea-4c6f-a694-145957979173
59,af30b365-89da-47ef-bf7f-54431770386f,solarRadiation,weatherstation,3c92efda-b9ea-4c6f-a694-145957979173
60,ac1ba4c7-4e54-4953-a017-0e4e7f9073ba,vaporPressure,weatherstation,3c92efda-b9ea-4c6f-a694-145957979173
61,fc9f3933-baa0-4f82-8f89-822e011c2a91,windDirection,weatherstation,3c92efda-b9ea-4c6f-a694-145957979173
62,282aac15-e308-4557-9523-1227ab597d13,windSpeed,weatherstation,3c92efda-b9ea-4c6f-a694-145957979173
63,3958e037-f80c-40cb-84cd-d107a54faa8a,windspeedGust,weatherstation,3c92efda-b9ea-4c6f-a694-145957979173
